20:21:38.861			['tcp_csum:4851']			0:00:00.001000
20:21:38.862			['tcp_csum:f645']			0:00:00.001000
20:21:38.863			['tcp_csum:d47e']			0:00:00.001000
20:21:38.865			['tcp_csum:e3b7']			0:00:00.002000
20:21:38.866			['tcp_csum:c919']			0:00:00.001000
20:21:38.867			['tcp_csum:1584']			0:00:00.001000
20:21:38.868			['tcp_csum:fd58']			0:00:00.001000
20:21:38.869			['tcp_csum:6899']			0:00:00.001000
20:21:38.871			['tcp_csum:eef5']			0:00:00.002000
20:21:38.872			['tcp_csum:3f72']			0:00:00.001000
20:21:38.873			['tcp_csum:56f3']			0:00:00.001000
20:21:38.874			['tcp_csum:8a35']			0:00:00.001000
20:21:38.876			['tcp_csum:48b3']			0:00:00.002000
20:21:38.877			['tcp_csum:b89']			0:00:00.001000
20:21:38.878			['tcp_csum:3193']			0:00:00.001000
20:21:38.879			['tcp_csum:1f8d']			0:00:00.001000
20:21:38.880			['tcp_csum:e007']			0:00:00.001000
20:21:38.882			['tcp_csum:9279']			0:00:00.002000
20:21:38.883			['tcp_csum:4140']			0:00:00.001000
20:21:38.884			['tcp_csum:89d0']			0:00:00.001000
20:21:38.885			['tcp_csum:b069']			0:00:00.001000
20:21:38.887			['tcp_csum:9d42']			0:00:00.002000
20:21:38.888			['tcp_csum:6aed']			0:00:00.001000
20:21:38.889			['tcp_csum:fd34']			0:00:00.001000
20:21:38.890			['tcp_csum:212c']			0:00:00.001000
20:21:38.891			['tcp_csum:26bf']			0:00:00.001000
20:21:38.892			['tcp_csum:8b9a']			0:00:00.001000
20:21:38.893			['tcp_csum:145c']			0:00:00.001000
20:21:38.895			['tcp_csum:66fe']			0:00:00.002000
20:21:38.896			['tcp_csum:e2f8']			0:00:00.001000
20:21:38.897			['tcp_csum:c0ca']			0:00:00.001000
20:21:38.899			['tcp_csum:1b5d']			0:00:00.002000
20:21:38.900			['tcp_csum:2965']			0:00:00.001000
20:21:38.901			['tcp_csum:d90e']			0:00:00.001000
20:21:38.902			['tcp_csum:d0d5']			0:00:00.001000
20:21:38.903			['tcp_csum:716e']			0:00:00.001000
20:21:38.904			['tcp_csum:ce65']			0:00:00.001000
20:21:38.906			['tcp_csum:4756']			0:00:00.002000
20:21:38.907			['tcp_csum:cb20']			0:00:00.001000
20:21:38.908			['tcp_csum:5f4a']			0:00:00.001000
20:21:38.909			['tcp_csum:87de']			0:00:00.001000
20:21:38.910			['tcp_csum:73b']			0:00:00.001000
20:21:38.912			['tcp_csum:dc9e']			0:00:00.002000
20:21:38.913			['tcp_csum:71b2']			0:00:00.001000
20:21:38.914			['tcp_csum:14db']			0:00:00.001000
20:21:38.915			['tcp_csum:649c']			0:00:00.001000
20:21:38.917			['tcp_csum:2a33']			0:00:00.002000
20:21:38.918			['tcp_csum:e2fc']			0:00:00.001000
20:21:38.919			['tcp_csum:8bd1']			0:00:00.001000
20:21:38.920			['tcp_csum:3ec1']			0:00:00.001000
20:21:38.921			['tcp_csum:97ed']			0:00:00.001000
20:21:38.922			['tcp_csum:279b']			0:00:00.001000
20:21:38.924			['tcp_csum:d58d']			0:00:00.002000
20:21:38.925			['tcp_csum:b3c9']			0:00:00.001000
20:21:38.926			['tcp_csum:c300']			0:00:00.001000
20:21:38.927			['tcp_csum:a864']			0:00:00.001000
20:21:38.929			['tcp_csum:f4cc']			0:00:00.002000
20:21:38.930			['tcp_csum:dca3']			0:00:00.001000
20:21:38.931			['tcp_csum:47e1']			0:00:00.001000
20:21:38.932			['tcp_csum:ce3f']			0:00:00.001000
20:21:38.934			['tcp_csum:1eb9']			0:00:00.002000
20:21:38.935			['tcp_csum:363d']			0:00:00.001000
20:21:38.936			['tcp_csum:697d']			0:00:00.001000
20:21:38.937			['tcp_csum:27fe']			0:00:00.001000
20:21:38.938			['tcp_csum:ead1']			0:00:00.001000
20:21:38.940			['tcp_csum:10de']			0:00:00.002000
20:21:38.941			['tcp_csum:fed5']			0:00:00.001000
20:21:38.942			['tcp_csum:bf52']			0:00:00.001000
20:21:38.943			['tcp_csum:71c1']			0:00:00.001000
20:21:38.947			['tcp_csum:208b']			0:00:00.004000
20:21:38.947			['tcp_csum:6918']			0:00:00
20:21:38.947			['tcp_csum:8fb3']			0:00:00
20:21:38.948			['tcp_csum:7c8a']			0:00:00.001000
20:21:38.949			['tcp_csum:4a38']			0:00:00.001000
20:21:38.951			['tcp_csum:dc7d']			0:00:00.002000
20:21:38.952			['tcp_csum:77']			0:00:00.001000
20:21:38.953			['tcp_csum:608']			0:00:00.001000
20:21:38.954			['tcp_csum:6ae5']			0:00:00.001000
20:21:38.955			['tcp_csum:f3a2']			0:00:00.001000
20:21:38.956			['tcp_csum:4647']			0:00:00.001000
20:21:38.958			['tcp_csum:c23f']			0:00:00.002000
20:21:38.959			['tcp_csum:a014']			0:00:00.001000
20:21:38.960			['tcp_csum:faa4']			0:00:00.001000
20:21:38.961			['tcp_csum:8b0']			0:00:00.001000
20:21:38.963			['tcp_csum:b857']			0:00:00.002000
20:21:38.964			['tcp_csum:b020']			0:00:00.001000
20:21:38.965			['tcp_csum:50b6']			0:00:00.001000
20:21:38.966			['tcp_csum:adaf']			0:00:00.001000
20:21:38.967			['tcp_csum:269d']			0:00:00.001000
20:21:38.969			['tcp_csum:aa69']			0:00:00.002000
20:21:38.970			['tcp_csum:3e91']			0:00:00.001000
20:21:38.971			['tcp_csum:6729']			0:00:00.001000
20:21:38.972			['tcp_csum:e683']			0:00:00.001000
20:21:38.973			['tcp_csum:bbe9']			0:00:00.001000
20:21:38.975			['tcp_csum:50fb']			0:00:00.002000
20:21:38.976			['tcp_csum:f425']			0:00:00.001000
20:21:38.977			['tcp_csum:43e4']			0:00:00.001000
20:21:38.978			['tcp_csum:97d']			0:00:00.001000
20:21:38.979			['tcp_csum:c24b']			0:00:00.001000
20:21:38.981			['tcp_csum:1ec2']			0:00:00.002000
20:21:38.982			['tcp_csum:9d5']			0:00:00.001000
20:21:38.983			['tcp_csum:228a']			0:00:00.001000
20:21:38.984			['tcp_csum:5cf2']			0:00:00.001000
20:21:38.986			['tcp_csum:6c27']			0:00:00.002000
20:21:38.987			['tcp_csum:a2ae']			0:00:00.001000
20:21:38.988			['tcp_csum:8e36']			0:00:00.001000
20:21:38.989			['tcp_csum:36a7']			0:00:00.001000
20:21:38.990			['tcp_csum:803e']			0:00:00.001000
20:21:38.992			['tcp_csum:1512']			0:00:00.002000
20:21:38.993			['tcp_csum:5aa']			0:00:00.001000
20:21:38.994			['tcp_csum:a2f6']			0:00:00.001000
20:21:38.995			['tcp_csum:5df1']			0:00:00.001000
20:21:38.996			['tcp_csum:bce']			0:00:00.001000
20:21:38.998			['tcp_csum:f55']			0:00:00.002000
20:21:38.999			['tcp_csum:97f3']			0:00:00.001000
20:21:39.000			['tcp_csum:8b4b']			0:00:00.001000
20:21:39.001			['tcp_csum:18a1']			0:00:00.001000
20:21:39.002			['tcp_csum:d387']			0:00:00.001000
20:21:39.004			['tcp_csum:e24f']			0:00:00.002000
20:21:39.005			['tcp_csum:4ef9']			0:00:00.001000
20:21:39.006			['tcp_csum:237b']			0:00:00.001000
20:21:39.007			['tcp_csum:cab6']			0:00:00.001000
20:21:39.009			['tcp_csum:3b2c']			0:00:00.002000
20:21:39.010			['tcp_csum:b6c0']			0:00:00.001000
20:21:39.011			['tcp_csum:8fa4']			0:00:00.001000
20:21:39.012			['tcp_csum:a4a1']			0:00:00.001000
20:21:39.013			['tcp_csum:d240']			0:00:00.001000
20:21:39.015			['tcp_csum:8530']			0:00:00.002000
20:21:39.016			['tcp_csum:de5d']			0:00:00.001000
20:21:39.017			['tcp_csum:6e0b']			0:00:00.001000
20:21:39.018			['tcp_csum:1bfe']			0:00:00.001000
20:21:39.019			['tcp_csum:970']			0:00:00.001000
20:21:39.021			['tcp_csum:3b3b']			0:00:00.002000
20:21:39.022			['tcp_csum:8e50']			0:00:00.001000
20:21:39.023			['tcp_csum:6529']			0:00:00.001000
20:21:39.024			['tcp_csum:afed']			0:00:00.001000
20:21:39.025			['tcp_csum:3142']			0:00:00.001000
20:21:39.027			['tcp_csum:4544']			0:00:00.002000
20:21:39.028			['tcp_csum:b830']			0:00:00.001000
20:21:39.029			['tcp_csum:af88']			0:00:00.001000
20:21:39.030			['tcp_csum:c2fa']			0:00:00.001000
20:21:39.032			['tcp_csum:22ed']			0:00:00.002000
20:21:39.033			['tcp_csum:4c76']			0:00:00.001000
20:21:39.034			['tcp_csum:3a13']			0:00:00.001000
20:21:39.036			['tcp_csum:4115']			0:00:00.002000
20:21:39.038			['tcp_csum:fec6']			0:00:00.002000
20:21:39.039			['tcp_csum:9725']			0:00:00.001000
20:21:39.040			['tcp_csum:6d0d']			0:00:00.001000
20:21:39.041			['tcp_csum:8501']			0:00:00.001000
20:21:39.042			['tcp_csum:2cf4']			0:00:00.001000
20:21:39.044			['tcp_csum:976a']			0:00:00.002000
20:21:39.045			['tcp_csum:8a53']			0:00:00.001000
20:21:39.046			['tcp_csum:8bc']			0:00:00.001000
20:21:39.047			['tcp_csum:5045']			0:00:00.001000
20:21:39.048			['tcp_csum:a361']			0:00:00.001000
20:21:39.050			['tcp_csum:e91c']			0:00:00.002000
20:21:39.051			['tcp_csum:7d17']			0:00:00.001000
20:21:39.052			['tcp_csum:5b82']			0:00:00.001000
20:21:39.053			['tcp_csum:e966']			0:00:00.001000
20:21:39.055			['tcp_csum:523e']			0:00:00.002000
20:21:39.056			['tcp_csum:de61']			0:00:00.001000
20:21:39.057			['tcp_csum:5f11']			0:00:00.001000
20:21:39.058			['tcp_csum:28c0']			0:00:00.001000
20:21:39.059			['tcp_csum:69eb']			0:00:00.001000
20:21:39.061			['tcp_csum:819b']			0:00:00.002000
20:21:39.062			['tcp_csum:d61c']			0:00:00.001000
20:21:39.063			['tcp_csum:38d1']			0:00:00.001000
20:21:39.064			['tcp_csum:d77e']			0:00:00.001000
20:21:39.065			['tcp_csum:fd4']			0:00:00.001000
20:21:39.067			['tcp_csum:a89d']			0:00:00.002000
20:21:39.068			['tcp_csum:8dbe']			0:00:00.001000
20:21:39.069			['tcp_csum:b540']			0:00:00.001000
20:21:39.070			['tcp_csum:54a']			0:00:00.001000
20:21:39.072			['tcp_csum:c363']			0:00:00.002000
20:21:39.073			['tcp_csum:80be']			0:00:00.001000
20:21:39.074			['tcp_csum:33a']			0:00:00.001000
20:21:39.075			['tcp_csum:4b96']			0:00:00.001000
20:21:39.076			['tcp_csum:f7ce']			0:00:00.001000
20:21:39.078			['tcp_csum:abdf']			0:00:00.002000
20:21:39.079			['tcp_csum:c3a0']			0:00:00.001000
20:21:39.080			['tcp_csum:ed1c']			0:00:00.001000
20:21:39.081			['tcp_csum:637d']			0:00:00.001000
20:21:39.082			['tcp_csum:be']			0:00:00.001000
20:21:39.084			['tcp_csum:7d7a']			0:00:00.002000
20:21:39.085			['tcp_csum:ccef']			0:00:00.001000
20:21:39.086			['tcp_csum:f37c']			0:00:00.001000
20:21:39.087			['tcp_csum:8dc8']			0:00:00.001000
20:21:39.088			['tcp_csum:d7b2']			0:00:00.001000
20:21:39.090			['tcp_csum:63e0']			0:00:00.002000
20:21:39.091			['tcp_csum:587a']			0:00:00.001000
20:21:39.092			['tcp_csum:8cb9']			0:00:00.001000
20:21:39.093			['tcp_csum:7e56']			0:00:00.001000
20:21:39.094			['tcp_csum:e654']			0:00:00.001000
20:21:39.096			['tcp_csum:d813']			0:00:00.002000
20:21:39.097			['tcp_csum:c0f3']			0:00:00.001000
20:21:39.098			['tcp_csum:6f68']			0:00:00.001000
20:21:39.099			['tcp_csum:d0a1']			0:00:00.001000
20:21:39.101			['tcp_csum:3fca']			0:00:00.002000
20:21:39.102			['tcp_csum:fa4d']			0:00:00.001000
20:21:39.103			['tcp_csum:b08c']			0:00:00.001000
20:21:39.104			['tcp_csum:1afb']			0:00:00.001000
20:21:39.105			['tcp_csum:f65e']			0:00:00.001000
20:21:39.107			['tcp_csum:502c']			0:00:00.002000
20:21:39.108			['tcp_csum:b8c5']			0:00:00.001000
20:21:39.109			['tcp_csum:6036']			0:00:00.001000
20:21:39.110			['tcp_csum:5dc6']			0:00:00.001000
20:21:39.111			['tcp_csum:5a81']			0:00:00.001000
20:21:39.113			['tcp_csum:1740']			0:00:00.002000
20:21:39.114			['tcp_csum:6bff']			0:00:00.001000
20:21:39.115			['tcp_csum:a43b']			0:00:00.001000
20:21:39.116			['tcp_csum:b993']			0:00:00.001000
20:21:39.117			['tcp_csum:ced9']			0:00:00.001000
20:21:39.119			['tcp_csum:d29f']			0:00:00.002000
20:21:39.120			['tcp_csum:1c3d']			0:00:00.001000
20:21:39.121			['tcp_csum:3e4c']			0:00:00.001000
20:21:39.122			['tcp_csum:3056']			0:00:00.001000
20:21:39.124			['tcp_csum:b5c1']			0:00:00.002000
20:21:39.125			['tcp_csum:e07']			0:00:00.001000
20:21:39.126			['tcp_csum:bf6a']			0:00:00.001000
20:21:39.127			['tcp_csum:3b61']			0:00:00.001000
20:21:39.128			['tcp_csum:839f']			0:00:00.001000
20:21:39.130			['tcp_csum:ff0f']			0:00:00.002000
20:21:39.131			['tcp_csum:7acc']			0:00:00.001000
20:21:39.132			['tcp_csum:66d6']			0:00:00.001000
20:21:39.133			['tcp_csum:54c1']			0:00:00.001000
20:21:39.134			['tcp_csum:951e']			0:00:00.001000
20:21:39.136			['tcp_csum:797a']			0:00:00.002000
20:21:39.137			['tcp_csum:7d08']			0:00:00.001000
20:21:39.138			['tcp_csum:2670']			0:00:00.001000
20:21:39.139			['tcp_csum:508']			0:00:00.001000
20:21:39.141			['tcp_csum:cc6f']			0:00:00.002000
20:21:39.142			['tcp_csum:9815']			0:00:00.001000
20:21:39.143			['tcp_csum:b55']			0:00:00.001000
20:21:39.144			['tcp_csum:15ff']			0:00:00.001000
20:21:39.145			['tcp_csum:7cd2']			0:00:00.001000
20:21:39.147			['tcp_csum:21c0']			0:00:00.002000
20:21:39.148			['tcp_csum:b852']			0:00:00.001000
20:21:39.149			['tcp_csum:cb04']			0:00:00.001000
20:21:39.150			['tcp_csum:e61b']			0:00:00.001000
20:21:39.151			['tcp_csum:e37b']			0:00:00.001000
20:21:39.153			['tcp_csum:58bb']			0:00:00.002000
20:21:39.154			['tcp_csum:d7cf']			0:00:00.001000
20:21:39.155			['tcp_csum:988']			0:00:00.001000
20:21:39.156			['tcp_csum:5d26']			0:00:00.001000
20:21:39.157			['tcp_csum:192d']			0:00:00.001000
20:21:39.159			['tcp_csum:8f16']			0:00:00.002000
20:21:39.160			['tcp_csum:d0a2']			0:00:00.001000
20:21:39.161			['tcp_csum:f91b']			0:00:00.001000
20:21:39.162			['tcp_csum:edb4']			0:00:00.001000
20:21:39.164			['tcp_csum:21f0']			0:00:00.002000
20:21:39.165			['tcp_csum:138b']			0:00:00.001000
20:21:39.166			['tcp_csum:7b85']			0:00:00.001000
20:21:39.167			['tcp_csum:6d44']			0:00:00.001000
20:21:39.169			['tcp_csum:5621']			0:00:00.002000
20:21:39.170			['tcp_csum:493']			0:00:00.001000
20:21:39.171			['tcp_csum:65ca']			0:00:00.001000
20:21:39.172			['tcp_csum:d4ef']			0:00:00.001000
20:21:39.173			['tcp_csum:8f72']			0:00:00.001000
20:21:39.174			['tcp_csum:45ad']			0:00:00.001000
20:21:39.176			['tcp_csum:b019']			0:00:00.002000
20:21:39.177			['tcp_csum:8b7b']			0:00:00.001000
20:21:39.178			['tcp_csum:e544']			0:00:00.001000
20:21:39.179			['tcp_csum:4dde']			0:00:00.001000
20:21:39.180			['tcp_csum:f54a']			0:00:00.001000
20:21:39.182			['tcp_csum:f2d8']			0:00:00.002000
20:21:39.183			['tcp_csum:ef8f']			0:00:00.001000
20:21:39.184			['tcp_csum:ac4d']			0:00:00.001000
20:21:39.185			['tcp_csum:10c']			0:00:00.001000
20:21:39.187			['tcp_csum:3944']			0:00:00.002000
20:21:39.188			['tcp_csum:4e9a']			0:00:00.001000
20:21:39.189			['tcp_csum:63dc']			0:00:00.001000
20:21:39.190			['tcp_csum:67a2']			0:00:00.001000
20:21:39.191			['tcp_csum:b13c']			0:00:00.001000
