S1-time		S2-time			IAT-S2			Delay-S2		S1-chksum				S2-chksum
10:55:06.082   10:55:06.115   0:00:00                            0:00:00.033000           ['tcp_csum:15']                   ['tcp_csum:15']
10:55:06.085   10:55:06.117   0:00:00.002000                     0:00:00.032000           ['tcp_csum:a116']               ['tcp_csum:a116']
10:55:06.085   10:55:06.118   0:00:00.001000                     0:00:00.033000           ['tcp_csum:a25b']               ['tcp_csum:a25b']
10:55:06.085   10:55:06.119   0:00:00.001000                     0:00:00.034000           ['tcp_csum:4b01']               ['tcp_csum:4b01']
10:55:06.087   10:55:06.120   0:00:00.001000                     0:00:00.033000           ['tcp_csum:522']                 ['tcp_csum:522']
10:55:06.087   10:55:06.122   0:00:00.002000                     0:00:00.035000           ['tcp_csum:7205']               ['tcp_csum:7205']
10:55:06.090   10:55:06.123   0:00:00.001000                     0:00:00.033000           ['tcp_csum:bbb7']               ['tcp_csum:bbb7']
10:55:06.090   10:55:06.124   0:00:00.001000                     0:00:00.034000           ['tcp_csum:d571']               ['tcp_csum:d571']
10:55:06.092   10:55:06.125   0:00:00.001000                     0:00:00.033000           ['tcp_csum:3801']               ['tcp_csum:3801']
10:55:06.092   10:55:06.126   0:00:00.001000                     0:00:00.034000           ['tcp_csum:4cc8']               ['tcp_csum:4cc8']
10:55:06.097   10:55:06.128   0:00:00.002000                     0:00:00.031000           ['tcp_csum:577f']               ['tcp_csum:577f']
10:55:06.097   10:55:06.129   0:00:00.001000                     0:00:00.032000           ['tcp_csum:3875']               ['tcp_csum:3875']
10:55:06.114   10:55:06.134   0:00:00.005000                     0:00:00.020000           ['tcp_csum:8ad5']               ['tcp_csum:8ad5']
10:55:06.114   10:55:06.134   0:00:00                            0:00:00.020000           ['tcp_csum:a226']               ['tcp_csum:a226']
10:55:06.116   10:55:06.137   0:00:00.003000                     0:00:00.021000           ['tcp_csum:7065']               ['tcp_csum:7065']
10:55:06.116   10:55:06.137   0:00:00                            0:00:00.021000           ['tcp_csum:2021']               ['tcp_csum:2021']
10:55:06.119   10:55:06.139   0:00:00.002000                     0:00:00.020000           ['tcp_csum:91a6']               ['tcp_csum:91a6']
10:55:06.119   10:55:06.139   0:00:00                            0:00:00.020000           ['tcp_csum:7d1a']               ['tcp_csum:7d1a']
10:55:06.121   10:55:06.141   0:00:00.002000                     0:00:00.020000           ['tcp_csum:c7b']                 ['tcp_csum:c7b']
10:55:06.121   10:55:06.142   0:00:00.001000                     0:00:00.021000           ['tcp_csum:4616']               ['tcp_csum:4616']
10:55:06.124   10:55:06.144   0:00:00.002000                     0:00:00.020000           ['tcp_csum:c557']               ['tcp_csum:c557']
10:55:06.124   10:55:06.144   0:00:00                            0:00:00.020000           ['tcp_csum:f6cc']               ['tcp_csum:f6cc']
10:55:06.127   10:55:06.147   0:00:00.003000                     0:00:00.020000           ['tcp_csum:3499']               ['tcp_csum:3499']
10:55:06.127   10:55:06.147   0:00:00                            0:00:00.020000           ['tcp_csum:fa13']               ['tcp_csum:fa13']
10:55:06.128   10:55:06.148   0:00:00.001000                     0:00:00.020000           ['tcp_csum:cf52']               ['tcp_csum:cf52']
10:55:06.129   10:55:06.149   0:00:00.001000                     0:00:00.020000           ['tcp_csum:43d1']               ['tcp_csum:43d1']
10:55:06.131   10:55:06.151   0:00:00.002000                     0:00:00.020000           ['tcp_csum:8cd4']               ['tcp_csum:8cd4']
